program,title,link,upvotes,bounty
Genasys Technologies,Login Bypass to OTP Enumeration,hackerone.com/reports/729961,20,0.0
Lob,HTTP Request Smuggling on vpn.lob.com,hackerone.com/reports/694604,52,500.0
GitLab,"Project Template functionality can be used to copy private project data, such as repository, confidential issues, snippets, and merge requests",hackerone.com/reports/689314,123,12000.0
WakaTime,previous token seems to work even though it does not verify email,hackerone.com/reports/263672,26,0.0
Nextcloud,Nextcloud domain and name of every user leaked to lookup server,hackerone.com/reports/508490,10,100.0
QIWI,Раскрытие чувствительной информации composer.lock,hackerone.com/reports/714186,5,100.0
Nextcloud,"Group admins can remove arbitrary data from ""data"" directory (including admin data)",hackerone.com/reports/508493,27,150.0
Mail.ru,Reflected XSS on https://go.mail.ru/search?fr=mn&amp;q=&lt;payload&gt;,hackerone.com/reports/722977,15,0.0
Mail.ru,XSS via message subject - mobile application,hackerone.com/reports/368912,70,1000.0
Kaspersky,Chrome extension: Websites can uninstall browser extensions,hackerone.com/reports/470519,17,500.0
Kaspersky,Override links for certificate warnings and similar UI are predictable,hackerone.com/reports/469372,36,2500.0
Kaspersky,Kaspersky Password Manager allows websites to access user's address data,hackerone.com/reports/430854,51,300.0
Kaspersky,[Firefox and Chrome browser integration] Websites can hijack Kaspersky's command interface,hackerone.com/reports/470553,6,500.0
Kaspersky,[No browser integration] Websites can hijack Kaspersky's command interface,hackerone.com/reports/470544,10,500.0
Kaspersky,[IE browser integration] Websites can hijack Kaspersky's command interface,hackerone.com/reports/470547,20,500.0
Razer,DOM XSS at https://www.thx.com in IE/Edge browser,hackerone.com/reports/702981,75,250.0
HackerOne,Team object in GraphQL disclosed of private programs via the industry,hackerone.com/reports/707406,54,500.0
ZEIT,Unauthorized admission to any team in zeit.co,hackerone.com/reports/681882,3,0.0
Nextcloud,The password recovery let users know whether an email address exists or not in the website,hackerone.com/reports/681468,10,0.0
GitLab,DoS attack via comment on Issue,hackerone.com/reports/557154,57,1000.0
Badoo,Reflected XSS,hackerone.com/reports/739601,185,1000.0
LocalTapiola,CORS misconfiguration allows to steal customers data,hackerone.com/reports/577969,65,2100.0
Zomato,[www.zomato.com] Blind XSS on one of the Admin Dashboard,hackerone.com/reports/724889,149,750.0
Starbucks,Thailand - a small number of SMB CCTV footage backup servers were accessible without authentication.,hackerone.com/reports/417360,75,0.0
Monero,CVE-2019-13132 - libzmq 4.1 series is vulnerable,hackerone.com/reports/652911,2,0.0
Starbucks,Thailand – a small number of alarm system portals accessible with the default credentials,hackerone.com/reports/406486,17,500.0
Starbucks,Improper handling of payment callback allows topping up a Swiss Starbucks Card bypassing actual payment via a crafted success message,hackerone.com/reports/682617,15,0.0
Monero,Monero Wallet Gui for Windows (Arbitrary Code Execution),hackerone.com/reports/630903,4,0.0
VK.com,"доступ к com.vk.usersstore.UsersContentProvider, возможна утечка exchange_token на android &lt; 21",hackerone.com/reports/473690,6,100.0
Slack,Linux Desktop application slack executable does not use pie / no ASLR,hackerone.com/reports/415272,42,100.0
WordPress,"""Bad Protocols Validation"" Bypass in ""wp_kses_bad_protocol_once"" using HTML-encoding without trailing semicolons",hackerone.com/reports/339483,2,350.0
Ruby,WEBrick::HTTPAuth::DigestAuth authentication is vulnerable to regular expression denial of service (ReDoS),hackerone.com/reports/661722,6,200.0
QIWI,какой-то исходный код в корне сайта http://shop.tochka.com,hackerone.com/reports/714024,2,50.0
Monero,Exploiting Network and Timing Side-Channels to Break Monero Receiver Anonymity,hackerone.com/reports/713321,5,0.0
Mail.ru,[iot-hackathon.geekbrains.ru] Tilda Subdomain Takeover,hackerone.com/reports/720992,16,0.0
Mail.ru,worki.ru: SMS code bruteforce,hackerone.com/reports/700612,37,1657.0
Kartpay,bypass captcha in the form forgot password,hackerone.com/reports/700075,12,0.0
Starbucks,"Reflected XSS in https://www.starbucks.com/account/create/redeem/MCP131XSR via xtl_amount, xtl_coupon_code, xtl_amount_type parameters",hackerone.com/reports/531042,16,250.0
Starbucks,Information disclosure on sim.starbucks.com,hackerone.com/reports/632808,25,0.0
Starbucks,Webshell via File Upload on ecjobs.starbucks.com.cn,hackerone.com/reports/506646,159,4000.0
Starbucks,XXE at ecjobs.starbucks.com.cn/retail/hxpublic_v6/hxdynamicpage6.aspx,hackerone.com/reports/500515,105,4000.0
The Internet,putty pscp client-side post-auth stack buffer overwrite when processing remote file size,hackerone.com/reports/120903,1,0.0
The Internet,CVE-2016-5157 OpenJPEG opj_dwt_interleave_v Out-of-Bounds Write Vulnerability,hackerone.com/reports/167510,0,0.0
The Internet,CVE-2016-7163 OpenJPEG opj_pi_create_decode Integer Overflow Vulnerability,hackerone.com/reports/167512,1,0.0
The Internet,CVE-2016-3183 OpenJPEG sycc422_to_rgb Out-of-Bounds Read Vulnerability,hackerone.com/reports/167947,0,0.0
The Internet,CVE-2016-3182 OpenJPEG color_esycc_to_rgb Out-of-Bounds Read Vulnerability,hackerone.com/reports/167953,0,0.0
The Internet,CVE-2016-4796 OpenJPEG color_cmyk_to_rgb Out-of-Bounds Read Vulnerability,hackerone.com/reports/167955,0,0.0
The Internet,CVE-2016-1924 OpenJPEG opj_tgt_reset Out-of-Bounds Read Vulnerability,hackerone.com/reports/167957,0,0.0
The Internet,"The “Malstaller” Attack, global hijacking of any installation process to achieve RCE with elevated privileges, Windows OS (vendor agnostic)",hackerone.com/reports/165969,0,0.0
The Internet,Incorrect logic in MySQL &amp; MariaDB protocol leads to remote SSRF/Remote file read,hackerone.com/reports/156511,2,0.0
The Internet,Malicious Server can force read any file on clients system with default configuration in MySQL Clients,hackerone.com/reports/171593,2,0.0
The Internet,RCE on default Ubuntu Desktop &gt;= 12.10 Quantal,hackerone.com/reports/192512,3,0.0
The Internet,CVE-2017-8798 - miniupnp getHTTPResponse chunked encoding integer signedness error,hackerone.com/reports/227344,2,0.0
The Internet,Roundcube virtualmin privilege escalation (CVE-2017-8114),hackerone.com/reports/242119,1,0.0
The Internet,Widespread failure of certificate validation in Android apps,hackerone.com/reports/2293,1,0.0
The Internet,Ericsson Erlang OTP Core Allocation Subsystem Integer Overflow (All Versions),hackerone.com/reports/28640,1,0.0
The Internet,Exim handles BDAT data incorrectly and leads to crash/hang,hackerone.com/reports/296994,1,0.0
The Internet,GarlicRust - heartbleed style vulnerability in major I2P C++ router implementations,hackerone.com/reports/295740,2,0.0
The Internet,CVE-2017-13089 wget stack smash,hackerone.com/reports/287666,1,0.0
The Internet,CVE-2017-13090 wget heap smash,hackerone.com/reports/287667,1,0.0
The Internet,Exim use-after-free vulnerability while reading mail header involving BDAT commands,hackerone.com/reports/296991,3,0.0
The Internet,Multiple HTTP Smuggling reports,hackerone.com/reports/648434,2,0.0
Smule,stored xss in https://www.smule.com,hackerone.com/reports/733222,8,0.0
Infogram,LFI through the MySQL connection,hackerone.com/reports/719875,31,0.0
The Internet,OpenSSH / dropbearSSHd xauth command injection,hackerone.com/reports/122113,1,1500.0
The Internet,Critical vulnerability in JSON Web Encryption (JWE) - RFC 7516 Invalid Curve attack,hackerone.com/reports/213437,8,1000.0
Flash (IBB),Race condition in Flash workers may cause an exploitabl​e double free,hackerone.com/reports/37240,5,10000.0
Flash (IBB),use-after-free vulnerability in Flash Player,hackerone.com/reports/18843,0,2000.0
Flash (IBB),Wrong Handling of Content-Type allows Flash injection and Rosseta flash patch bypass,hackerone.com/reports/78158,0,3000.0
Flash (IBB),Misusing of FPU Instruction Could Cause Security Vulnerabilities in Adobe Flash Player,hackerone.com/reports/66962,1,5000.0
Flash (IBB),Adobe Flash Player TextField Use-After-Free Vulnerability,hackerone.com/reports/122254,1,2000.0
Flash (IBB),Adobe Flash Player Race Condition Vulnerability,hackerone.com/reports/119657,1,2000.0
Flash (IBB),"Adobe Flash Player ASnative(101,10) Memory Corruption Vulnerability",hackerone.com/reports/119652,1,5000.0
Flash (IBB),"Adobe Flash Player ASnative(900,1).call(MovieClip) Use-After-Free Vulnerability",hackerone.com/reports/119653,1,2000.0
Flash (IBB),"Adobe Flash Player ASnative(900,1).call(TextField) Use-After-Free Vulnerability",hackerone.com/reports/119655,1,2000.0
Flash (IBB),Adobe Flash Player,hackerone.com/reports/122256,1,2000.0
